geoid,dist_roadbed_pickup_feet,count,avg_pickup_dist_feet,building_block_int_dis_tbl_bulkdens
360050289001001,0.0,2,0.0,5.427487
360050289001002,44.9058832535294,5,8.98117665070588,4.583403
360050289001003,3.5028871676148796,1,3.5028871676148796,2.242398
360050289003001,70.81379179941041,1,70.81379179941041,3.7021089999999997
360050289003002,1.1802689186746698,1,1.1802689186746698,3.5701620000000003
360050293021000,0.0,2,0.0,5.823175
360050293021001,0.0,1,0.0,1.199976
360050293023002,4.00413357349594,1,4.00413357349594,46.176603
360050293023003,0.0,1,0.0,18.503218
360050293024000,0.0,1,0.0,0.0
360050293024001,0.0,5,0.0,0.0
360050295001001,0.0,2,0.0,7.713086
360050295001004,0.0,1,0.0,7.511404
360050295001005,0.0,1,0.0,4.591193
360050295002001,0.0,1,0.0,6.08562
360050295002002,0.5931238787049581,3,0.19770795956831935,1.623069
360050295002003,0.0,1,0.0,4.399185
360050296001011,0.0,1,0.0,6.591092
360050297001008,0.0,1,0.0,2.545317
360050297003000,0.0,1,0.0,8.735772
360050297003002,22.9275404603372,2,11.4637702301686,5.726775
360050307012000,15.1332818898186,1,15.1332818898186,4.392094
360050307014001,0.0,1,0.0,9.077855
360050310002002,85.4222701894367,1,85.4222701894367,1.6912459999999998
360050330001002,0.0,1,0.0,3.165258
360050330001003,0.0,1,0.0,1.211164
360050332011000,0.0,1,0.0,0.36380100000000004
360050332022000,0.0,1,0.0,5.3253580000000005
360050332024000,0.0,1,0.0,10.712142
360050334001030,0.0,1,0.0,0.0
360050334001031,0.0,1,0.0,0.011081
360050334001039,0.0,1,0.0,0.5197430000000001
360050334001041,101.981073053092,2,50.990536526546,0.523987
360050335001008,0.0,2,0.0,1.037619
360050335002015,0.0,1,0.0,1.20145
360050337003004,0.0,1,0.0,1.887964
360050337003006,0.0,1,0.0,2.847911
360050345002000,18.9249963811232,1,18.9249963811232,5.8387839999999995
360050345002001,0.0,1,0.0,2.6889849999999997
360050345002002,0.0,1,0.0,1.6758369999999998
360050350002000,0.0,1,0.0,1.914304
360050356002009,2.43896768913414,2,1.21948384456707,1.831533
